,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
467206,25992,landlab,2023-02-28 16:46:00,commit,2017-10-30 14:14:29-05:00,kbarnhart
467266,25918,sage,2023-02-28 16:46:00,commit,2023-01-24 17:11:12-06:00,jhpalmieri
468783,25992,landlab,2023-02-28 16:46:00,commit,2018-04-30 21:37:14-05:00,kbarnhart
472774,25992,landlab,2023-02-28 16:46:00,commit,2017-12-30 13:31:22-06:00,mcflugen
473128,25992,landlab,2023-02-28 16:46:00,commit,2015-09-29 23:39:46-05:00,mcflugen
475270,25918,sage,2023-02-28 16:46:00,commit,2021-03-24 01:03:33-05:00,guenterrote
476643,25918,sage,2023-02-28 16:46:00,commit,2014-09-14 00:36:14-05:00,tscrim
477502,25918,sage,2023-02-28 16:46:00,commit,2007-02-09 14:35:26-06:00,yqiang
477996,25992,landlab,2023-02-28 16:46:00,commit,2019-04-21 20:45:01-05:00,mcflugen
482150,25918,sage,2023-02-28 16:46:00,commit,2012-12-21 04:32:55-06:00,jdemeyer
482759,25918,sage,2023-02-28 16:46:00,commit,2018-06-13 06:47:59-05:00,jdemeyer
485251,25992,landlab,2023-02-28 16:46:00,commit,2014-10-28 19:01:02-05:00,SiccarPoint
488259,25992,landlab,2023-02-28 16:46:00,commit,2022-11-18 16:16:51-06:00,mcflugen
490411,25992,landlab,2023-02-28 16:46:00,commit,2015-03-08 22:35:21-05:00,mcflugen
492113,25992,landlab,2023-02-28 16:46:00,commit,2014-09-25 16:23:45-05:00,saisiddu
496286,26027,docker-nginx-with-upload-reporting,2023-02-28 16:46:00,commit,2021-03-12 09:32:43-06:00,thresheek
498260,25918,sage,2023-02-28 16:46:00,commit,2016-09-20 13:01:36-05:00,jhonrubiagonzalez
498302,25911,lapack,2023-02-28 16:46:00,commit,2022-11-08 07:33:37-06:00,martin-frbg
505531,25859,llvm-project,2023-02-28 16:46:00,commit,2014-07-20 18:43:15-05:00,uweigand
506889,25918,sage,2023-02-28 16:46:00,commit,2008-08-31 04:03:05-05:00,robertwb
506892,25918,sage,2023-02-28 16:46:00,commit,2018-03-17 04:54:53-05:00,dcoudert
510483,25918,sage,2023-02-28 16:46:00,commit,2020-05-24 17:45:56-05:00,dimpase
516077,25918,sage,2023-02-28 16:46:00,commit,2015-10-14 07:55:27-05:00,rwst
531218,25918,sage,2023-02-28 16:46:00,commit,2014-03-11 12:56:54-05:00,mmasdeu
540145,25842,hs_core,2023-02-28 16:46:00,commit,2014-05-29 13:31:38-05:00,shaunjl
540521,25918,sage,2023-02-28 16:46:00,commit,2018-02-08 06:45:01-06:00,hivert
542894,25918,sage,2023-02-28 16:46:00,commit,2015-02-13 07:22:03-06:00,a-andre
545277,25918,sage,2023-02-28 16:46:00,commit,2007-08-12 17:00:35-05:00,williamstein
